FIRE SIZE,DC,DMC,FFMC,ISI,BUI,FWI
0.1,305.9187,46.914867,69.98005,0.8760806,67.82578,3.1557798
120.0,447.09207,127.260994,95.14812,27.863546,148.70378,69.59997
0.25,246.58191,141.91444,92.44577,7.778795,141.34126,30.557104
1.0,129.84216,51.8347,97.692696,16.397442,51.885735,31.85341
0.1,229.63628,130.17543,92.584656,11.223327,129.679,37.85833
1.6,31.143759,23.359615,95.164024,11.126142,23.04748,16.34508
0.1,275.4141,102.0352,88.69491,4.312081,105.944664,17.928768
0.1,252.3788,74.83868,84.319565,2.9050422,85.95562,11.788787
0.1,252.3788,74.83868,84.319565,2.9050422,85.95562,11.788787
0.1,260.95206,66.826225,84.251816,2.5853114,81.48468,10.373677
0.1,297.40762,103.530975,78.73393,1.1114169,110.71183,5.9436502
0.1,493.52582,149.63864,92.85069,8.14506,170.23657,33.082462
0.1,354.0285,71.39324,94.72722,15.711083,94.92842,41.36778
0.1,354.0285,71.39324,94.72722,15.711083,94.92842,41.36778
0.1,205.52295,61.217052,90.150795,8.210277,70.176895,23.012398
0.25,229.63628,130.17543,92.584656,11.223327,129.679,37.85833
0.1,182.46666,49.82403,82.90111,2.81944,59.22106,9.1697
0.1,296.82306,37.575138,92.10429,9.239755,57.084354,22.494368
0.1,246.58191,141.91444,92.44577,7.778795,141.34126,30.557104
0.33,456.04977,90.27804,88.75928,5.376455,120.782074,22.33945
0.1,845.92303,46.31302,64.22037,0.82480043,81.47452,3.4486785
0.1,687.7507,243.96907,91.63326,16.124557,258.60114,53.70431
0.1,64.58239,35.78922,84.56975,2.6209815,35.60538,6.2182417
0.1,30.895498,20.221336,92.913895,12.860321,19.979374,17.016186
0.1,30.895498,20.221336,92.913895,12.860321,19.979374,17.016186
0.1,490.32767,94.13118,93.23915,14.166604,127.20944,43.7
0.25,nan,nan,nan,nan,nan,nan
0.1,301.225,128.43509,91.687294,8.878155,128.3447,32.312054
0.1,579.5821,175.54227,96.35832,12.413292,199.79848,44.668724
0.1,532.34955,133.635,98.28779,20.143648,164.21396,58.51006
0.1,545.2753,154.09334,98.414055,18.34359,180.59648,56.225487
3.3,545.2753,154.09334,98.414055,18.34359,180.59648,56.225487
0.07,595.5201,185.08092,95.79372,10.79438,208.31047,41.041763
0.25,144.63962,68.15664,95.40711,13.745775,68.028206,32.276054
0.25,584.6121,173.56271,97.53378,16.496906,199.24394,53.392853
0.06,485.84738,106.31196,94.57442,13.025384,137.43883,42.4989
0.53,297.8342,185.64566,94.1499,10.578363,184.66432,39.864548
0.1,222.59772,27.241478,83.439766,3.1439419,41.719032,8.117288
0.1,209.1286,22.188923,48.095657,0.17721084,35.074245,0.23266634
0.1,178.1191,17.509468,53.417263,0.32308772,28.11061,0.3652465
0.1,447.82736,73.82074,60.50759,0.46338928,104.554184,2.02454
0.1,184.50179,19.855597,74.53521,1.0532826,31.292227,1.8974442
0.75,452.79123,44.97427,85.62621,3.2330341,72.055855,11.57118
0.08,447.82736,73.82074,60.50759,0.46338928,104.554184,2.02454
0.5,455.5101,72.22802,72.05179,0.78356373,103.44795,3.9610684
0.6,437.57794,45.679947,65.64481,0.7295509,72.4514,2.657931
0.1,447.82736,73.82074,60.50759,0.46338928,104.554184,2.02454
0.1,447.82736,73.82074,60.50759,0.46338928,104.554184,2.02454
0.1,447.82736,73.82074,60.50759,0.46338928,104.554184,2.02454
0.5,455.5101,72.22802,72.05179,0.78356373,103.44795,3.9610684
0.1,642.3496,142.0695,93.4394,11.330346,182.96973,41.607853
0.1,707.2327,185.01361,92.20186,7.378445,223.71585,32.19452
0.1,554.4071,160.18466,98.010605,19.14028,186.00989,57.98237
0.1,447.82736,73.82074,60.50759,0.46338928,104.554184,2.02454
0.25,584.11383,109.58802,94.603516,11.988634,149.19725,41.27746
0.1,571.08954,169.96078,96.04274,12.287197,194.90694,44.238266
0.1,455.5101,72.22802,72.05179,0.78356373,103.44795,3.9610684
0.1,182.11891,25.500942,64.74745,0.84875923,37.777523,1.6211876
0.25,305.4383,85.84332,95.886635,17.02469,100.836494,44.75417
80.0,691.1775,177.30936,96.46723,17.096897,216.0556,55.054153
0.1,691.1775,177.30936,96.46723,17.096897,216.0556,55.054153
0.1,643.4219,156.53221,92.82654,8.126337,194.66733,33.806274
0.1,447.82736,73.82074,60.50759,0.46338928,104.554184,2.02454
0.5,523.73517,101.545296,76.0818,1.2017583,136.78743,7.1655393
0.1,209.1286,22.188923,48.095657,0.17721084,35.074245,0.23266634
0.1,326.6034,201.09264,96.400925,13.115604,200.02707,46.263523
0.2,129.1943,55.412724,87.139366,4.446273,55.364662,12.807531
0.1,137.31206,61.508167,94.53694,12.917282,61.425224,29.44035
0.1,334.80185,100.047844,80.80249,1.9526373,114.53231,10.024516
0.1,334.80185,100.047844,80.80249,1.9526373,114.53231,10.024516
0.1,476.88818,98.90185,94.63954,13.51282,130.26471,42.750744
0.1,129.1943,55.412724,87.139366,4.446273,55.364662,12.807531
0.1,334.80185,100.047844,80.80249,1.9526373,114.53231,10.024516
0.1,319.60568,188.88669,95.978874,14.129682,187.9994,48.08767
0.1,326.6034,201.09264,96.400925,13.115604,200.02707,46.263523
0.1,476.88818,98.90185,94.63954,13.51282,130.26471,42.750744
0.6,357.90536,46.606174,89.13146,7.9231157,70.319855,22.463177
2.7,45.12128,22.536692,86.65748,3.8986087,22.423977,6.760252
13.7,830.7529,86.13792,95.63294,10.444697,136.81194,36.77989
67.92,680.3555,226.9301,97.11687,16.68432,247.48822,54.74089
0.9,907.5679,75.02197,90.37738,7.5485635,124.34685,28.619118
0.1,338.56836,62.235886,62.492638,0.5723271,85.280815,2.2377255
0.2,346.03455,52.295883,64.211266,0.604948,75.910904,2.137598
25.18,635.2564,152.39673,96.44624,11.040426,190.52628,41.1766
0.1,241.7585,55.987373,94.821075,12.80658,70.91679,31.416952
0.7,129.1943,55.412724,87.139366,4.446273,55.364662,12.807531
0.1,455.5101,72.22802,72.05179,0.78356373,103.44795,3.9610684
3.72,328.125,205.97527,96.77562,15.681439,204.82567,51.90133
0.23,334.80185,100.047844,80.80249,1.9526373,114.53231,10.024516
0.1,558.2069,149.26001,90.315,9.493318,178.91737,36.954914
0.1,447.82736,73.82074,60.50759,0.46338928,104.554184,2.02454
0.1,186.95113,98.95956,95.995415,13.208748,98.6607,37.63096
6.2,574.22864,139.08179,94.36098,9.718129,173.25497,37.30054
0.25,455.5101,72.22802,72.05179,0.78356373,103.44795,3.9610684
0.1,346.03455,52.295883,64.211266,0.604948,75.910904,2.137598
0.25,338.56836,62.235886,62.492638,0.5723271,85.280815,2.2377255
0.2,338.56836,62.235886,62.492638,0.5723271,85.280815,2.2377255
0.25,447.82736,73.82074,60.50759,0.46338928,104.554184,2.02454
0.25,530.1408,134.33899,91.95089,9.498626,164.47931,36.349754
0.1,346.03455,52.295883,64.211266,0.604948,75.910904,2.137598
0.1,476.88818,98.90185,94.63954,13.51282,130.26471,42.750744
0.1,241.7585,55.987373,94.821075,12.80658,70.91679,31.416952
0.1,447.82736,73.82074,60.50759,0.46338928,104.554184,2.02454
0.1,80.62182,49.362923,92.83878,11.727423,49.09109,24.65516
0.1,38.05994,15.221049,84.27965,3.6109622,15.222512,4.9701447
0.1,49.191658,18.084888,77.49039,1.2408447,18.847227,1.3637413
1.0,24.328184,13.45331,86.41159,5.605434,13.298986,7.0328116
0.1,37.43888,22.543022,91.674164,6.061541,22.337435,9.942303
0.1,187.35223,91.19234,97.11524,18.177576,90.99784,44.53373
0.1,326.0426,118.722534,86.6508,3.8373687,124.29532,17.704254
0.25,411.04666,65.18709,96.030205,16.896664,93.3598,43.012398
0.1,317.8893,40.7876,40.656357,0.05564073,61.76342,0.10900249
0.5,563.53564,174.2022,96.11706,17.410887,196.52673,55.112614
0.25,394.12018,54.14129,91.07793,13.620625,80.601494,34.839485
0.25,794.90283,57.236286,91.53406,6.8129063,97.00981,23.854433
0.1,279.67657,161.93018,94.82782,12.024188,161.24359,42.16867
0.1,1125.5779,70.548096,91.255394,11.028087,121.9824,36.59544
0.1,785.5633,52.267574,86.84903,3.3104196,89.626816,13.402649
0.21,766.31537,40.426804,87.649704,7.177653,71.43258,21.106724
0.1,69.16363,35.258663,85.6782,2.8632896,35.122017,6.697049
0.1,488.8021,69.067375,60.135307,0.65399116,102.07644,3.1782455
0.25,575.05927,111.704475,96.32382,14.615135,150.3808,46.93594
0.1,245.0793,90.91923,94.82361,10.228617,94.34161,31.105577
0.1,364.13077,161.0294,96.956406,19.672588,160.84247,57.409557
0.1,353.20514,136.2832,93.14679,10.325087,138.73761,36.66743
0.5,716.16144,206.98882,95.96659,15.988638,240.32649,53.229458
0.1,408.6364,75.21264,88.11059,4.9425817,103.02085,19.542377
0.2,261.6595,78.52344,73.169205,0.90506506,89.72853,4.1523576
0.1,317.8893,40.7876,40.656357,0.05564073,61.76342,0.10900249
0.25,391.1196,76.14933,95.71027,12.869106,102.438034,37.63307
0.1,347.47968,48.42331,94.34457,11.333751,71.82392,29.112225
0.1,270.5788,85.93662,93.77189,8.0791235,95.80409,26.691769
0.4,982.6272,375.61905,98.3319,18.284828,384.1373,58.416557
0.3,992.13995,84.63048,95.93951,21.535164,139.5101,58.505177
0.1,78.41964,47.72534,92.42098,11.534228,47.461594,23.9644
0.1,127.33597,48.686264,94.16164,14.194819,49.784958,28.323462
0.1,344.26886,130.34619,93.9466,12.633221,133.9258,41.32583
0.25,494.263,132.98471,98.147354,18.816837,159.01161,55.71524
21.0,1170.2322,106.83517,94.59001,13.720521,173.96535,46.59629
0.1,1303.2836,340.53018,94.64166,19.105644,411.96094,60.018982
3.4,1295.1862,335.66885,92.274025,11.275556,407.38583,43.168236
0.4,1303.2836,340.53018,94.64166,19.105644,411.96094,60.018982
6.5,1303.2836,340.53018,94.64166,19.105644,411.96094,60.018982
0.1,1179.3441,93.13617,79.095406,1.408276,155.55983,8.675447
0.1,1179.3441,93.13617,79.095406,1.408276,155.55983,8.675447
0.1,1179.3441,93.13617,79.095406,1.408276,155.55983,8.675447
282.0,955.94635,119.643814,95.733055,14.983257,182.25972,49.653904
0.1,1235.0919,289.84525,92.779236,9.217915,365.3463,37.886806
0.1,1069.929,81.67739,66.24994,1.2157834,137.1752,7.250775
0.1,960.9846,47.59501,96.16957,24.669668,84.70232,52.20557
0.25,223.21373,66.52473,92.37921,6.8791604,76.24266,21.190447
0.56,1112.7079,237.8682,91.3153,8.958512,310.04,37.126526
0.1,1007.9256,184.15475,90.50133,7.4194236,252.82669,32.576584
0.1,1145.8232,345.81226,95.271126,13.355993,394.19897,48.06211
0.1,1154.1935,351.3347,96.38216,12.68403,399.01813,46.522556
0.1,1169.3557,360.43228,95.58404,13.829178,407.13498,49.130054
0.5,614.2808,94.39433,91.18775,6.8952155,136.39163,27.826942
0.6,715.4362,164.87418,97.340416,14.874511,209.2137,50.330585
1.0,773.50867,201.06125,96.495575,13.386145,243.73495,47.667175
0.1,384.4952,233.2032,94.757904,13.046552,231.93295,46.755295
7.0,802.16406,176.50978,93.895294,14.274326,227.73914,49.41576
0.2,129.41672,70.59873,92.171,11.316294,70.350746,28.78227
3.75,227.28113,79.540375,90.76516,6.4175954,84.84705,21.332699
0.1,695.5566,106.95408,92.54578,7.697388,154.51114,31.13561
0.1,291.2737,159.6185,91.01034,7.036545,159.04291,29.523785
0.2,323.03046,49.113384,58.076794,0.67623603,71.17373,2.3501515
0.1,358.56308,28.754173,85.51849,4.8853426,47.90438,12.713723
0.1,429.6705,54.70281,85.267494,4.895832,82.99097,17.298332
0.2,383.22012,48.169674,94.30798,14.667021,73.30407,34.946804
0.1,323.03046,49.113384,58.076794,0.67623603,71.17373,2.3501515
0.1,373.78165,32.719906,83.14161,4.408395,53.690075,12.500145
0.1,358.56308,28.754173,85.51849,4.8853426,47.90438,12.713723
0.1,357.61566,31.908218,84.00804,5.4445734,52.177586,14.511776
0.6,458.87518,94.93322,84.78984,3.760386,125.14215,17.489971
4.3,27.792282,14.871272,92.54857,42.73843,14.731294,34.632008
0.1,126.78402,47.846134,83.445465,3.2770383,49.23816,9.31043
0.1,437.97012,59.853004,93.73698,13.982156,89.22298,37.250313
0.1,444.88715,80.15119,94.43103,13.086599,110.52274,39.32327
0.1,767.4157,261.58997,90.317375,6.774569,282.46738,30.781023
0.1,767.4157,261.58997,90.317375,6.774569,282.46738,30.781023
0.1,767.4157,261.58997,90.317375,6.774569,282.46738,30.781023
0.14,343.38458,39.77208,66.68918,0.82032275,61.683212,2.6566827
